school,Street,URI,Email,Religion,School Cluster,Postal Code,NTG Geographic Definition,Type,Fax Number,,,Enrolment,Telephone Number,Suburb,Postal Address,State
Acacia Hill School,80 Spearwood Rd,,acaciahill.school@ntschools.net,Government,Central Storm,871,Provincial,Special Purpose School,(08) 8953 4063,,,38,(08) 8952 6277,Alice Springs,"PO Box 435, Alice Springs",NT
Adelaide River School,31 Memorial Tce,http://www.schools.nt.edu.au/tegs/adelriv/adel.htm,adelaideriver.ps@ntschools.net,Government,Palmerston & Rural,846,Remote,Group School,(08) 8976 7074,,,43,(08) 8976 7034,Adelaide River,"PO Box 5, Adelaide River",NT
Alawa Pre School,27 Pett St,,,,,,,Pre School,(08) 8927 1695,,,0,(08) 8927 9122,Alawa,,
Alawa Primary School,27 Pett St,http://www.schools.nt.edu.au/alawa/,alawa.school@ntschools.net,Government,Darwin City,811,Provincial,Primary School,(08) 8927 1695,,,213,(08) 8927 9122,Alawa,"PO Box 40446, Casuarina",NT
Alcoota School,,,ann.roberts@ntschools.net,Government,Desert Oaks,872,Very Remote,Group School,(08) 8956 9977,,,66,(08) 8956 9977,Engawala (Alcoota Stn),"PMB 129, via ALICE SPRINGS",NT
Alekarenge School,,,admin.alekacec@ntschools.net,Government,Central Storm,872,Very Remote,Group School,(08) 8964 1969,,,147,(08) 8964 1957,Ali Curung (Warrabri),"Ali Curung, LMB 161, via Alice Springs",NT
Alice Springs High School,56 Milner Rd,,contact.ashs@ntschools.net,Government,Desert Oaks,871,Remote,Middle School,(08) 8952 6614,,,237,(08) 8950 2500,Alice Springs,"PO Box 1771, Alice Springs",NT
Alice Springs Lanuages Centre,,,,Government,,,,Open Learning Centre,,,,0,(08) 89525544,,c/o Anzac Hill High,
Alice Springs School Of The Air,80 Head St,http://www.assoa.nt.edu.au/,assoa@assoa.nt.edu.au,Government,Desert Oaks,871,Remote,Open Learning Centre,(08) 8951 6835,,,78,(08) 8951 6800,Alice Springs,"PO Box 1220, Alice Springs",NT
Alice Springs Steiner School,,http://www.alicesteiner.nt.edu.au/,office@alicesteiner.nt.edu.au,Independant,Desert Oaks,871,Remote,Primary School,(08) 89523897,,,79,(08) 89534578,,"PO Box 2736, Alice Springs",NT
Alpurrurulam School,,,ross.forbes@ntschools.net,Government,Central Storm,4825,Very Remote,Group School,(07) 4748 4887,,,97,(07) 4748 4887,Alpurrurulam (Lake Nash),"PMB 46, Mt Isa",QLD
Alyangula Area School,Cnr Flinders St & Ayawarra Cr,http://www.alyangula.com/,alyangula.admin@ntschools.net,Government,Arnhem,885,Very Remote,Area School,(08) 8987 6014,,,225,(08) 8987 6366,Alyangula,"PMB 3, Alyangula",NT
Alyangula Pre School,Cnr Flinders St & Ayawarra Cr,,,,,,,Pre School,(08) 8987 6014,,,0,(08) 8987 6366,Alyangula,,
Amanbidgi School,,http://www.schools.nt.edu.au/kathgs/amanbidji/amanbidji.htm,admin.amanbsch@ntschools.net,Government,Rivers,852,Very Remote,Group School,(08) 9168 7359,,,11,(08) 9168 7380,Amanbidji (Kildirk),"PMB 16, via Katherine",NT
Amoonguna School,,,,Government,Desert Oaks,871,Remote,Group School,(08) 8952 3402,,,21,(08) 8952 3402,Amoonguna,"PO Box 2529, Alice Springs",NT
Ampilatwatja School,,http://www.schools.nt.edu.au/ampil/,,Government,Desert Oaks,872,Very Remote,Group School,(08) 8956 9799,,,105,(08) 8956 9799,Ampilatwatja (Ammaroo),"PMB 84, Alice Springs",NT
Angurugu CEC,,,admin.angurcec@ntschools.net,Government,Arnhem,885,Very Remote,Community School,(08) 8987 6106,,,221,(08) 8987 6355,Angurugu,"PMB 40, Alyangula",NT
Angurugu Pre School,,,,,,,,Pre School,(08) 8987 6106,,,0,(08) 8987 6355,Angurugu,,
Anula Pre School,73 Yanyula Dr,,,,,,,Pre School,(08) 8927 4561,,,0,(08) 8927 9477,Anula,,
Anula Primary School,73 Yanyula Dr,,anula.admin@ntschools.net,Government,Northern Suburbs,812,Provincial,Primary School,(08) 8927 4561,,,431,(08) 8927 9477,Anula,"Yanyula Drive, ANULA",NT
Anzac Hill High School,26 Schwarz Cres,,anzac.hill@ntschools.net,Government,Central Storm,871,Remote,Middle School,(08) 8951 3888,,,207,(08) 8951 3800,Alice Springs,"PO Box 8220, Alice Springs",NT
Araluen Christian School,10 Blain St,http://www.schools.nt.edu.au/araluen/,admin@acf.nt.edu.au,Independant,Desert Oaks,871,Remote,Primary School,(08) 89550060,,,123,(08) 89550121,Alice Springs,"PO Box 482, Alice Springs",NT
Areyonga School,,,tarna.andrews@ntschools.net,Government,Desert Oaks,871,Very Remote,Group School,(08) 8956 7303,,,51,(08) 8956 7303,Areyonga,"Areyonga, via Alice Springs",NT
Arnhem Group School,,,,,,,,Group School Office,,,,0,(08) 8987 6617,,,
Australian Technical College,,,,Independant,,801,,School,,,,0,08 89010900,Darwin,GPO Box 1994,
Bakewell Pre School,5 Hutchison Tce,,,,,,,Pre School,(08) 8931 0491,,,0,(08) 8931 0487,Bakewell,,
Bakewell Primary School,5 Hutchison Tce,http://www.schools.nt.edu.au/bakewell/,admin.bakewell@ntschools.net,Government,Palmerston & Rural,831,Provincial,Primary School,(08) 8931 0491,,,688,(08) 8931 0487,Bakewell,"PO Box 1300, Palmerston",NT
Barkly Group School,"Tennant Creek Training Centre, Staunton Street",,peter.jenkins@nt.gov.au,,,861,,Group School Office,(08) 8962 4372,,,0,(08) 8962 4351,Tennant Creek,"PO Box 459 , Tennant Creek",NT
Barunga School,,,office.barunga@ntschools.net,Government,Rivers,851,Very Remote,Group School,(08) 8975 4616,,,71,(08) 8975 4502,Barunga (Bamyili),"PMB 117, via Katherine",NT
Batchelor Area School,71 Kirra Cres,http://www.schools.nt.edu.au/batchas/,bas-admin@ntschools.net,Government,Palmerston & Rural,845,Remote,Area School,(08) 8976 0008,,,175,(08) 8976 0077,Batchelor,"c/- Post Office, Batchelor",NT
Batchelor Pre School,71 Kirra Cres,,,,,,,Pre School,(08) 8976 0008,,,0,(08) 8976 0077,Batchelor,,
Bees Creek Pre School,20 Sattler Cres,,,,,,,Pre School,(08) 8983 3120,,,0,(08) 8983 3222,Freds Pass,,
Bees Creek Primary School,20 Sattler Cres,http://www.schools.nt.edu.au/bcps/,bees.creek@ntschools.net,Government,Palmerston & Rural,831,Provincial,Primary School,(08) 8983 3120,,,369,(08) 8983 3222,Freds Pass,"PO Box 2271, Palmerston",NT
Belyuen School,,http://www.schools.nt.edu.au/tegs/belyuen/bely.htm,tim.webb@ntschools.net,Government,Palmerston & Rural,801,Remote,Group School,(08) 8978 5063,,,40,(08) 8978 5085,Belyuen,"PMB 2, Darwin",NT
Berry Springs Pre School,1150 Cox Peninsula Rd,,,,,,,Pre School,(08) 8988 6151,,,0,(08) 8988 6006,Berry Springs,,
Berry Springs Primary School,1150 Cox Peninsula Rd,,berrysprings.primary@ntschools.net,Government,Palmerston & Rural,837,Provincial,Primary School,(08) 8988 6151,,,247,(08) 8988 6006,Berry Springs,"CMB, Berry Springs",NT
Bonya School,Community ID 26,,,Government,Desert Oaks,872,Very Remote,Group School,,,,19,889566343,Orrtipa-Thurra (Bonya),"PMB 69, via Alice Springs",NT
Borroloola CEC,321 Robinson Rd,,admin.borrosch@ntschools.net,Government,Central Storm,854,Very Remote,Community School,(08) 8975 8819,,,226,(08) 8975 8780,Borroloola,"PMB 5, Borroloola",NT
Borroloola Pre School,321 Robinson Rd,,,,,,,Pre School,(08) 8975 8819,,,0,(08) 8975 8780,Borroloola,,
Bradshaw Pre School,23 Adamson Ave,,,,,,,Pre School,(08) 8953 2027,,,0,(08) 8952 3777,Alice Springs,,
Bradshaw Primary School,23 Adamson Ave,http://www.schools.nt.edu.au/bradshaw/,bradshaw.school@ntschools.net,Government,Desert Oaks,871,Remote,Primary School,(08) 8953 2027,,,341,(08) 8952 3777,Alice Springs,"PO Box 1744, Alice Springs",NT
Braitling Primary School,80 Head St,http://www.schools.nt.edu.au/braitps/,admin.braitsch@ntschools.net,Government,Desert Oaks,871,Remote,Primary School,(08) 8953 2217,,,394,(08) 8953 3855,Alice Springs,"PO Box 1669, Alice Springs",NT
Bulla Camp School,,http://www.schools.nt.edu.au/kathgs/bulla/bulla.htm,darren.pittaway@ntschools.net,Government,Rivers,851,Very Remote,Group School,(08) 9168 7325,,,22,(08) 9167 8957,Bulla,"PMB 89, Katherine",NT
Bulman School,,http://www.schools.nt.edu.au/kathgs/bulman/bulman.htm,school.bulman@ntschools.net,Government,Rivers,851,Very Remote,Group School,(08) 8975 4743,,,90,(08) 8975 4707,Bulman,"PMB 13, Katherine",NT
Callistemon House,80 Callistemon Drive,,callistemon@redzone.com.au,,,851,,Special School,89723233,,,0,89723212,Katherine,PO Box 1971,NT
Canteen Creek Primary School,,http://www.schools.nt.edu.au/canteen/,admin.cantesch@ntschools.net,Government,Central Storm,872,Very Remote,Group School,(08) 8964 1505,,,109,(08) 8964 1505,Canteen Creek,"PMB 105, via Alice Springs",NT
Casuarina Senior College,61 Parer Dr,http://www.schools.nt.edu.au/csc/,csc.admin@ntschools.net,Government,Northern Suburbs,811,Provincial,Senior College,(08) 89201222,,,1280,(08) 89201211,Moil,"PO Box 40196, Casuarina",NT
Casuarina Street Pre School,Casuarina St,,,,,,,Pre School,(08) 8972 3791,,,0,(08) 8971 2643,Katherine East,,
Casuarina Street Primary School,Casuarina St,http://www.schools.nt.edu.au/csps/,casuarina.admin@ntschools.net,Government,Rivers,851,Remote,Primary School,(08) 8972 3791,,,282,(08) 8971 2643,Katherine East,"PO Box 1046, Katherine",NT
Centralian Senior Secondary College,10 Grevillea Dr,http://www.schools.nt.edu.au/cssc/,admin.cssc@ntschools.net,Government,Central Storm,871,Provincial,Senior College,(08) 8959 5510,,,577,(08) 8959 5500,Alice Springs,"PO Box 4856, Alice Springs",NT
Clyde Fenton Pre School,101 Giles St,,,,,,,Pre School,(08) 8972 3067,,,0,(08) 8972 1122,Katherine,,
Clyde Fenton Primary School,101 Giles St,http://www.schools.nt.edu.au/clydefen/,admin.clydesch@ntschools.net,Government,Rivers,851,Remote,Primary School,(08) 8972 3067,,,326,(08) 8972 1122,Katherine,"PO Box 421, Katherine",NT
Darwin Adventist Primary School,17 Dalwood Cres,,das@cqnet.com.au,Independant,Northern Suburbs,811,Provincial,Primary School,(08) 89457890,,,14,(08) 89279596,Malak,"PO Box 41169, Casuarina",NT
Darwin High School,10 Atkins Dr,http://www.schools.nt.edu.au/darwinhs/,darwin.high@ntschools.net,Government,Darwin City,820,Provincial,High School,(08) 8981 2137,,,1193,(08) 8999 1222,The Gardens,"Bullocky Point, Darwin",NT
Darwin Languages Centre,Ryland Road,,nt.sol@ntschools.net,Government,,810,,Open Learning Centre,(08) 89480420,,,0,(08) 89850905,,c/o Nightcliff High School,Nightcliff
Darwin Middle school,Bullocky Point,,,Government,Darwin City,820,Provincial,Middle School,,,,405,89425200,,"Bullocky Point, Fannie Bay",NT
Docker River School,,http://www.deadlymob.org/col2_ob.cfm?randid=900232,edwyn.graham@ntschools.net,Government,Desert Oaks,872,Very Remote,Group School,(08) 8956 7348,,,40,(08) 8956 7348,Kaltukatjara (Docker River),"Docker River, via Alice Springs",NT
Don Dale Education Unit,Tivendale Road,,lisa.coon@ntschools.net,Government,Palmerston & Rural,801,Provincial,Group School,(08) 8947 1895,,,27,08 89220411,Berrimah,"PO Box 1407, Darwin",NT
Douglas Daly School,Jungawa Rd,http://www.schools.nt.edu.au/tegs/dougdaly/doug.htm,douglas.daly@ntschools.net,Government,Palmerston & Rural,822,Very Remote,Group School,(08) 8978 2512,,,11,(08) 8978 2836,Douglas-Daly,"PMB 46, Winnellie",NT
Dripstone Middle School,10 Delamere St,http://www.schools.nt.edu.au/drpstnhs/,admin.dripshs@ntschools.net,Government,Northern Suburbs,811,Provincial,Middle School,(08) 8927 8898,,,610,(08) 8920 2299,Tiwi,"PO Box 41370, Casuarina",NT
Driver Pre School,37 Driver Ave,,,,,,,Pre School,(08) 89359035,,,0,(08) 8935 9000,Driver,,
Driver Primary School,37 Driver Ave,http://www.schools.nt.edu.au/driverps/,admin.drivesch@ntschools.net,Government,Palmerston & Rural,831,Provincial,Primary School,(08) 89359035,,,496,(08) 8935 9000,Driver,"PO Box 33, Palmerston",NT
Dundee Beach School,500 Namarada Dr,http://www.schools.nt.edu.au/tegs/dundee/dund.htm,dundee.school@ntschools.net,Government,Palmerston & Rural,821,Remote,Group School,(08) 8978 2796,,,10,(08) 8978 2212,Dundee Beach,"PMB 193, Winnellie",NT
Durack Pre School,50 Woodlake Blvd,,,,,,,Pre School,(08) 8932 8894,,,0,(08) 8932 8905,Durack,,
Durack Primary School,50 Woodlake Bvd,http://www.schools.nt.edu.au/durack/,durack.school@ntschools.net,Government,Palmerston & Rural,831,Provincial,Primary School,(08) 89359260,,,446,(08) 89359259,Durack,"PO Box 225, Palmerston",NT
Elliott School,24 Bray St,,noeline.laurie@ntschools.net,Government,Central Storm,862,Very Remote,Group School,(08) 8969 2053,,,95,(08) 8969 2050,Elliott,"C/- Elliott Post Office, Elliott",NT
Epenarra School,,,marg.hannan@ntschools.net,Government,Central Storm,861,Very Remote,Group School,(08) 8964 1512,,,59,(08) 8964 1512,Wutunugurra (Epenarra),"PMB 270, via Alice Springs",NT
Essington School,22 Chapman Rd,www.essington.nt.edu.au,administration@essington.nt.edu.au,Independant,Darwin City,811,Provincial,Primary School,(08) 89481910,,,586,(08) 89481255,Rapid Creek,"PO Box 42321, Casuarina",NT
Finke School,,http://www.deadlymob.org/col2_ob.cfm?randid=764555,school.finke@ntschools.net,Government,Desert Oaks,871,Very Remote,Group School,(08) 8956 0960,,,37,(08) 8956 0960,Finke,"PMB 30, via Alice Springs",NT
Gapuwiyak CEC,,,admin.gapuwcec@ntschools.net,Government,Arnhem,881,Very Remote,Community School,(08) 8987 9109,,,272,(08) 8987 9122,Gapuwiyak,"CMB 18, via Nhulunbuy",NT
Gapuwiyak Pre School,,,,,,,,Pre School,(08) 8987 9109,,,0,(08) 8987 9122,Gapuwiyak,,
Gawa Christian School,Community ID 508,,,Independent,,not available,Very Remote,Community School,,,,25,(08) 89879239,Gawa,,NT
Gillen Pre School,12 Newland St,,,,,,,Pre School,(08) 89534804,,,0,(08) 8952 2355,Alice Springs,,
Gillen Primary School,55 Milner Rd,http://www.schools.nt.edu.au/gillen/,gillen.school@ntschools.net,Government,Desert Oaks,871,Remote,Primary School,(08) 89 522334,,,299,(08) 8952 2355,Alice Springs,"PO Box 769, Alice Springs",NT
Girraween Pre School,25 Carruth Rd,,,,,,,Pre School,(08) 8983 4202,,,0,(08) 8983 3300,Girraween,,
Girraween Primary School,25 Carruth Rd,,admin.girrasch@ntschools.net,Government,Palmerston & Rural,835,Provincial,Primary School,(08) 8983 4202,,,296,(08) 8983 3300,Girraween,"GPO Box 4821, Darwin",NT
Gochin Jiny Jirra School,Community ID.319,http://www.schools.nt.edu.au/tegs/gochan/goch.htm,chris.nock@ntschools.net,Government,Palmerston & Rural,822,Very Remote,Group School,(08) 8979 0339,,,25,(08) 8979 0306,Gochin Jiny Jirra,"PMB 38, via Winnellie",NT
Good Shepherd Lutheran School,11 Emery Ave,http://home.austarnet.com.au/sheep/,admin.goodshep@ntschools.net,Independant,Palmerston & Rural,831,Provincial,Primary School,(08) 89322848,,,194,(08) 89322003,Gray,"PO Box 2171, Palmerston",NT
Government,,,,,,,,,,,,0,,,,
Gray Pre School,22 Victoria Dr,,,,,,,Pre School,(08) 8932 1007,,,0,(08) 8932 1700,Gray,,
Gray Primary School,22 Victoria Dr,http://www.schools.nt.edu.au/grayps/,admin.graysch@ntschools.net,Government,Palmerston & Rural,830,Provincial,Primary School,(08) 8932 1007,,,394,(08) 8932 1700,Gray,"Victoria Drive, Gray",NT
Gulf Group School,Robinson Road,,borroloola.cec@ntschools.net,,,854,,Group School Office,08 89758819,,,0,08 89758780,Borroloola,"PMB 5, Borroloola",NT
Gunbalanya CEC,,,admin.gunbacec@ntschools.net,Government,Palmerston & Rural,822,Very Remote,Community School,(08) 8979 0143,,,333,(08) 8979 0181,Gunbalanya,"PMB 66, Gunbalanya",NT
Gunbalanya Pre School,,,,,,,,Pre School,(08) 8979 0143,,,0,(08) 8979 0181,Gunbalanya,,
Haasts Bluff School,,http://www.deadlymob.org/col2_ob.cfm?randid=664311,faye.cameron@ntschools.net,Government,Desert Oaks,872,Very Remote,Group School,(08) 8956 8550,,,20,(08) 8956 8550,Haasts Bluff (Ikuntji),"Haasts Bluff, via Alice Springs",NT
Harts Range School,,,harts.school@ntschools.net,Government,Desert Oaks,871,Very Remote,Group School,(08) 8956 9771,,,70,(08) 8956 9771,Atitjere (Hart Range),"PMB 162, via Alice Springs",NT
Henbury School,312 Trower Rd,http://www.henbury.nt.edu.au/,henbury.admin@ntschools.net,Government,Northern Suburbs,810,Provincial,Special Purpose School,(08) 8927 3367,,,56,(08) 8927 5088,Wanguri,"4 Henbury Avenue, Wanguri",NT
